num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,trend_mean,trend_var,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,2,fixmodel,0.0239,8.662574819716349e-4,0.007335280911822297,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,2,fixmodel_cal,0.0244,8.265429662446098e-4,0.007299175120477261,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,2,sepmodel,0.0251,7.420137655467623e-4,0.007939947193103512,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,3,fixmodel,0.0248,7.380033371799557e-4,0.007246649906878622,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,3,fixmodel_cal,0.0251,8.388314621341185e-4,0.007220847839888977,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,3,sepmodel,0.026,7.444120664593285e-4,0.007936089206257243,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,4,fixmodel,0.0234,4.4799676121924187e-4,0.007095007003863434,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,4,fixmodel_cal,0.0243,3.048684645267091e-4,0.0071520154845062175,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,0,0.5,4,sepmodel,0.0241,5.211065691572588e-4,0.007896879035443888,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,2,fixmodel,0.0249,0.00176426625818075,0.007423080835829152,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,2,fixmodel_cal,0.0246,0.0018233767674250404,0.007365109687714594,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,2,sepmodel,0.0239,0.0017117061173994618,0.00799924336532028,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,3,fixmodel,0.0236,5.4366012662513346e-5,0.0073328011137021925,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,3,fixmodel_cal,0.0229,1.791676794398159e-4,0.00727493334259261,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,3,sepmodel,0.0241,-9.380099439910833e-6,0.008014972846555987,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,4,fixmodel,0.0216,-4.4367178222783077e-4,0.007043029350981217,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,4,fixmodel_cal,0.0213,-5.440802568807303e-4,0.0070541745345969785,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,0,0.5,4,sepmodel,0.0228,-1.980039695085824e-4,0.00782313118421689,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,2,fixmodel,0.0288,-4.7077116730478394e-4,0.007596971318857244,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,2,fixmodel_cal,0.0278,-7.891490266186371e-4,0.007333709024227503,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,2,sepmodel,0.0275,-5.449177024267962e-4,0.008069800986562677,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,3,fixmodel,0.0238,2.194530365270449e-4,0.0071811558786522445,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,3,fixmodel_cal,0.0236,2.6754332900305936e-4,0.006959475312571439,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,3,sepmodel,0.0232,3.048704164583253e-4,0.007889453773046343,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,4,fixmodel,0.0222,4.58888474227333e-4,0.006967496679836306,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,75,NA,NA,0,0.5,4,fixmodel_cal,0.0223,1.262823058427635e-4,0.006968897277686791,0,10000
